"Drug poisoning death rates* by intent, age, sex, and drug type, 1999-2021",,,,,,,,,,,,,,,,,,,
Year,Gender,Intent,,Substance,,,Age Group,,,,,,,,,,,,
,,,,,,,< 1 year,1-4 years,5-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85+ years,,
2016,Male,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,12.5,34.9,30.9,24.3,17.0,4.2,0.7,0.2,,
2016,Male,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,3.4,7.2,6.6,5.2,3.8,0.7,0.2,NR,,
2016,Male,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.3,0.5,0.4,0.3,0.2,NR,NR,NR,,
2016,Male,Preventable/accidental,,Cocaine,,,NR,NR,NR,2.4,7.7,8.3,8.3,6.1,1.8,0.3,NR,,
2016,Male,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,5.4,16.2,13.1,1NR,6.5,1.6,0.1,NR,,
2016,Male,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.6,2.0,2.1,1.8,1.8,0.4,NR,NR,,
2016,Male,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,6.0,18.8,16.3,11.2,6.6,1.4,0.2,NR,,
2016,Male,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,0.1,NR,3.1,7.7,8.2,8.0,6.4,1.6,0.5,0.2,,
2016,Male,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,1.6,5.2,6.2,6.1,4.5,1.1,0.1,NR,,
2015,Both sexes,"All (preventable, intentional, undetermined)",,All drugs,,,0.7,0.4,0.1,9.7,26.9,28.3,3NR,21.8,7.2,3.6,4.4,,
2015,Both sexes,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.3,0.3,0.1,7.0,19.4,18.4,17.6,12.4,3.5,1.2,0.9,,
2015,Both sexes,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.5,4.5,4.8,5.2,3.7,1.2,0.5,0.4,,
2015,Both sexes,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.2,0.3,0.2,0.2,0.1,NR,NR,NR,,
2015,Both sexes,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,1.0,3.6,3.8,4.3,2.9,0.7,0.1,NR,,
2015,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,3.8,9.7,7.4,5.6,3.4,0.6,0.1,NR,,
2015,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,0.1,NR,0.5,1.7,1.8,2.0,1.6,0.4,NR,NR,,
2015,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.1,NR,NR,2.3,6.6,5.6,4.6,2.9,0.7,0.2,0.2,,
2015,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.2,0.2,NR,1.6,5.3,6.9,8.1,6.4,2.1,0.9,0.7,,
2015,Both sexes,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.2,NR,NR,0.9,3.0,3.3,3.5,2.3,0.6,0.1,NR,,
2015,Both sexes,Preventable/accidental,,All drugs,,,0.2,0.2,0.1,8.5,24.3,24.5,24.9,17.3,5.0,2.2,2.6,,
2015,Both sexes,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,6.5,18.1,16.7,15.4,10.5,2.6,0.6,0.3,,
2015,Both sexes,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.4,4.0,4.2,4.2,2.8,0.7,0.1,0.1,,
2015,Both sexes,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.2,0.2,0.2,0.1,NR,NR,NR,,
2015,Both sexes,Preventable/accidental,,Cocaine,,,NR,NR,NR,1.0,3.4,3.6,4.1,2.8,0.7,0.1,NR,,
2015,Both sexes,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,3.5,9.2,7.0,5.3,3.2,0.6,0.1,NR,,
2015,Both sexes,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.4,1.5,1.7,1.7,1.4,0.4,NR,NR,,
2015,Both sexes,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,2.1,6.2,5.2,4.0,2.4,0.5,0.1,0.1,,
2015,Both sexes,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.1,NR,1.5,4.7,6.0,6.7,5.0,1.4,0.4,0.2,,
2015,Both sexes,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.9,2.7,3.1,3.3,2.2,0.5,0.1,NR,,
2015,Female,"All (preventable, intentional, undetermined)",,All drugs,,,0.5,0.4,0.2,5.9,15.7,20.5,24.9,17.6,6.1,3.3,4.1,,
2015,Female,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.3,0.3,0.1,4.1,10.5,12.5,14.0,9.8,2.8,1.1,0.9,,
2015,Female,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,0.9,2.9,4.1,5.2,3.5,1.2,0.5,0.4,,
2015,Female,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.1,0.1,0.1,0.1,NR,NR,NR,,
2015,Female,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,0.7,2.0,2.2,2.6,1.4,0.2,NR,NR,,
2015,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,0.1,NR,2.2,4.6,3.5,2.7,1.5,0.2,NR,NR,,
2015,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,0.1,NR,0.2,1.1,1.5,1.9,1.4,0.3,NR,NR,,
2015,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.1,NR,NR,1.3,3.3,3.4,3.4,2.1,0.6,0.2,0.2,,
2015,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.2,0.1,NR,1.0,3.5,6.1,7.9,5.9,1.9,0.9,0.7,,
2015,Female,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.2,NR,NR,0.7,1.9,1.9,2.2,1.3,0.2,NR,NR,,
2015,Female,Preventable/accidental,,All drugs,,,0.2,0.2,0.1,4.9,13.4,16.5,19.5,12.9,3.6,1.9,2.5,,
2015,Female,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,3.7,9.5,10.8,11.9,7.9,1.9,0.5,0.3,,
2015,Female,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,0.8,2.5,3.4,4.0,2.5,0.6,0.1,0.1,,
2015,Female,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.1,0.1,0.1,0.1,NR,NR,NR,,
2015,Female,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.6,1.9,2.0,2.4,1.3,0.2,NR,NR,,
2015,Female,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,2.1,4.3,3.2,2.6,1.4,0.2,NR,NR,,
2015,Female,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.2,1.0,1.3,1.7,1.2,0.3,NR,NR,,
2015,Female,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,1.2,3.0,3.0,2.9,1.7,0.4,0.1,NR,,
2015,Female,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.1,NR,0.9,3.0,5.1,6.4,4.6,1.2,0.4,0.2,,
2015,Female,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.7,1.8,1.7,2.0,1.2,0.1,NR,NR,,
2015,Male,"All (preventable, intentional, undetermined)",,All drugs,,,0.9,0.3,0.1,13.3,37.9,36.3,35.3,26.2,8.5,3.9,5.0,,
2015,Male,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.4,0.2,0.1,9.8,28.2,24.5,21.2,15.3,4.4,1.2,0.9,,
2015,Male,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,2.1,6.0,5.6,5.3,3.8,1.2,0.5,0.6,,
2015,Male,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.2,0.4,0.3,0.3,0.2,NR,NR,NR,,
2015,Male,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,1.3,5.1,5.5,6.1,4.5,1.2,0.1,NR,,
2015,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,5.2,14.8,11.4,8.7,5.6,1.1,0.1,NR,,
2015,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,NR,NR,NR,0.7,2.2,2.1,2.0,1.8,0.6,0.1,NR,,
2015,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.1,NR,NR,3.2,9.8,7.9,5.8,3.6,0.8,0.1,0.3,,
2015,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.2,NR,2.2,7.0,7.8,8.2,6.8,2.3,0.9,0.5,,
2015,Male,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,1.2,4.0,4.8,4.9,3.5,1.0,0.1,0.1,,
2015,Male,Preventable/accidental,,All drugs,,,0.2,0.1,0.1,11.9,34.9,32.6,30.4,22.1,6.6,2.5,2.9,,
2015,Male,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,9.2,26.5,22.7,19.0,13.2,3.5,0.6,0.2,,
2015,Male,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,2.0,5.5,5.0,4.5,3.0,0.8,0.1,NR,,
2015,Male,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.2,0.4,0.3,0.3,0.2,NR,NR,NR,,
2015,Male,Preventable/accidental,,Cocaine,,,NR,NR,NR,1.3,4.9,5.2,5.8,4.4,1.2,0.1,NR,,
2015,Male,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,4.9,14.0,10.8,8.2,5.2,1.1,0.1,NR,,
2015,Male,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.6,2.0,2.0,1.7,1.6,0.5,NR,NR,,
2015,Male,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,3.0,9.2,7.3,5.2,3.1,0.7,0.1,0.1,,
2015,Male,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.1,NR,2.0,6.5,7.0,7.0,5.5,1.7,0.4,0.1,,
2015,Male,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,1.1,3.7,4.5,4.6,3.3,1.0,0.1,NR,,
2014,Both sexes,"All (preventable, intentional, undetermined)",,All drugs,,,0.6,0.3,0.1,8.6,23.1,25.0,28.2,20.3,6.9,3.6,4.1,,
2014,Both sexes,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.2,0.2,0.1,6.2,16.2,15.6,16.1,11.1,3.3,1.0,1.1,,
2014,Both sexes,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.3,4.0,4.4,4.9,3.4,1.0,0.5,0.3,,
2014,Both sexes,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.2,0.1,0.1,0.1,NR,NR,NR,,
2014,Both sexes,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,0.8,2.7,3.0,3.7,2.3,0.6,0.1,NR,,
2014,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,3.3,8.0,5.9,4.7,2.7,0.5,NR,NR,,
2014,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,0.1,NR,0.5,1.8,1.9,2.0,1.6,0.3,NR,NR,,
2014,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.1,NR,NR,1.2,3.4,3.1,3.1,1.9,0.5,0.2,0.2,,
2014,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.1,NR,1.7,4.9,6.5,8.0,6.1,2.1,0.8,0.7,,
2014,Both sexes,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.3,NR,NR,0.8,2.2,2.5,2.8,1.7,0.4,NR,NR,,
2014,Both sexes,Preventable/accidental,,All drugs,,,0.2,0.1,NR,7.5,20.3,20.9,23.1,15.9,4.5,2.1,2.5,,
2014,Both sexes,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,5.7,14.8,14.0,13.9,9.2,2.2,0.5,0.5,,
2014,Both sexes,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.2,3.5,3.8,4.0,2.6,0.5,0.1,0.1,,
2014,Both sexes,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.2,0.1,0.1,0.1,NR,NR,NR,,
2014,Both sexes,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.7,2.6,2.8,3.5,2.2,0.5,0.1,NR,,
2014,Both sexes,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,3.1,7.6,5.6,4.4,2.5,0.5,NR,NR,,
2014,Both sexes,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.5,1.7,1.7,1.7,1.3,0.3,NR,NR,,
2014,Both sexes,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,1.0,3.0,2.7,2.6,1.5,0.4,0.1,0.1,,
2014,Both sexes,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,1.5,4.3,5.6,6.7,4.8,1.3,0.3,0.3,,
2014,Both sexes,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.7,2.0,2.2,2.6,1.6,0.3,NR,NR,,
2014,Female,"All (preventable, intentional, undetermined)",,All drugs,,,0.7,0.3,0.1,5.0,14.1,19.2,23.7,17.2,6.5,3.5,4.0,,
2014,Female,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.2,0.2,0.1,3.3,8.8,11.2,13.1,9.0,3.1,1.1,1.2,,
2014,Female,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,0.8,2.6,3.9,4.8,3.4,1.1,0.6,0.2,,
2014,Female,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.1,0.1,0.1,NR,NR,NR,NR,,
2014,Female,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,0.4,1.6,1.9,2.2,1.1,0.1,NR,NR,,
2014,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,1.7,3.7,2.6,2.2,1.0,0.1,NR,NR,,
2014,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,0.1,NR,0.3,1.2,1.6,1.9,1.3,0.3,0.1,NR,,
2014,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.1,NR,NR,0.6,1.9,2.3,2.6,1.7,0.6,0.2,0.2,,
2014,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.1,NR,0.9,3.2,5.9,7.7,5.9,2.3,0.8,0.8,,
2014,Female,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.4,NR,NR,0.5,1.3,1.6,1.7,0.8,0.2,NR,NR,,
2014,Female,Preventable/accidental,,All drugs,,,0.1,0.1,NR,4.1,11.8,15.0,18.5,12.6,3.9,1.9,2.6,,
2014,Female,Preventable/accidental,,Any Opioid,,,NR,0.1,NR,3.0,7.8,9.6,10.9,7.1,2.0,0.5,0.6,,
2014,Female,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,0.7,2.2,3.1,3.8,2.4,0.5,0.1,0.1,,
2014,Female,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.1,0.1,0.1,NR,NR,NR,NR,,
2014,Female,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.4,1.5,1.7,2.1,1.0,0.1,NR,NR,,
2014,Female,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,1.6,3.5,2.5,2.1,0.9,0.1,NR,NR,,
2014,Female,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.3,1.1,1.4,1.6,1.1,0.2,NR,NR,,
2014,Female,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.6,1.7,2.0,2.1,1.3,0.4,0.1,0.1,,
2014,Female,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,0.8,2.7,4.9,6.2,4.4,1.4,0.3,0.3,,
2014,Female,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.4,1.2,1.4,1.5,0.8,0.1,NR,NR,,
2014,Male,"All (preventable, intentional, undetermined)",,All drugs,,,0.5,0.3,0.1,12.1,31.9,30.8,32.9,23.5,7.3,3.8,4.3,,
2014,Male,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.2,0.2,NR,8.9,23.4,20.1,19.2,13.4,3.4,1.0,0.9,,
2014,Male,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.8,5.3,4.9,5.1,3.3,1.0,0.4,0.4,,
2014,Male,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.2,0.3,0.2,0.2,0.1,NR,NR,NR,,
2014,Male,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,1.1,3.7,4.2,5.3,3.5,1.1,0.2,NR,,
2014,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,4.8,12.3,9.2,7.2,4.4,0.9,0.1,NR,,
2014,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,NR,NR,NR,0.8,2.4,2.2,2.1,1.9,0.4,NR,NR,,
2014,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,NR,NR,NR,1.7,4.8,3.9,3.6,2.0,0.4,0.1,0.1,,
2014,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.1,NR,2.3,6.5,7.2,8.4,6.3,1.9,0.7,0.7,,
2014,Male,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,1.1,3.1,3.4,4.0,2.6,0.6,0.1,NR,,
2014,Male,Preventable/accidental,,All drugs,,,0.2,0.1,NR,10.8,28.8,26.8,27.9,19.4,5.2,2.3,2.3,,
2014,Male,Preventable/accidental,,Any Opioid,,,0.1,NR,NR,8.2,21.7,18.4,16.9,11.5,2.6,0.5,0.3,,
2014,Male,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.6,4.8,4.4,4.3,2.7,0.6,0.1,NR,,
2014,Male,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.2,0.3,0.1,0.2,0.1,NR,NR,NR,,
2014,Male,Preventable/accidental,,Cocaine,,,NR,NR,NR,1.1,3.6,4.0,5.0,3.4,1.0,0.2,NR,,
2014,Male,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,4.6,11.7,8.8,6.7,4.2,0.9,0.1,NR,,
2014,Male,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.7,2.2,2.0,1.9,1.6,0.3,NR,NR,,
2014,Male,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,1.5,4.4,3.5,3.1,1.7,0.3,0.1,NR,,
2014,Male,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,2.1,5.9,6.3,7.1,5.1,1.2,0.3,0.1,,
2014,Male,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,1.0,2.9,3.1,3.8,2.5,0.6,NR,NR,,
2013,Both sexes,"All (preventable, intentional, undetermined)",,All drugs,,,0.8,0.3,0.1,8.3,20.9,23.0,27.5,19.2,6.4,3.6,4.3,,
2013,Both sexes,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.2,0.2,0.1,5.7,13.8,13.3,14.8,9.9,2.7,0.9,1.0,,
2013,Both sexes,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.2,3.5,3.7,4.6,3.0,0.9,0.4,0.2,,
2013,Both sexes,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.2,0.1,0.1,NR,NR,NR,NR,,
2013,Both sexes,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,0.6,2.3,2.7,3.7,2.2,0.5,0.1,NR,,
2013,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,2.9,6.3,4.4,3.7,2.1,0.3,NR,NR,,
2013,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,NR,NR,0.6,2.0,2.1,2.1,1.5,0.4,0.1,0.1,,
2013,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.5,1.5,1.6,2.0,1.4,0.4,0.1,0.1,,
2013,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.2,0.1,NR,1.7,4.9,5.9,7.8,5.4,1.7,0.6,0.8,,
2013,Both sexes,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.7,1.9,2.1,2.4,1.4,0.3,NR,NR,,
2013,Both sexes,Preventable/accidental,,All drugs,,,0.1,0.1,NR,7.1,18.2,19.1,22.3,14.7,4.0,2.1,2.6,,
2013,Both sexes,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,5.1,12.6,11.9,12.7,8.1,1.8,0.4,0.4,,
2013,Both sexes,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.0,3.1,3.1,3.7,2.2,0.4,0.1,NR,,
2013,Both sexes,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.2,0.1,0.1,NR,NR,NR,NR,,
2013,Both sexes,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.6,2.2,2.5,3.5,2.1,0.5,0.1,NR,,
2013,Both sexes,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,2.7,6.0,4.1,3.6,2.0,0.3,NR,NR,,
2013,Both sexes,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.6,1.8,1.9,1.9,1.3,0.3,NR,NR,,
2013,Both sexes,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.5,1.3,1.4,1.7,1.1,0.3,0.1,0.1,,
2013,Both sexes,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,NR,NR,1.5,4.3,5.0,6.3,4.1,1.0,0.3,0.3,,
2013,Both sexes,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.6,1.7,1.9,2.2,1.3,0.2,NR,NR,,
2013,Female,"All (preventable, intentional, undetermined)",,All drugs,,,0.9,0.2,0.1,4.8,13.0,18.0,23.6,15.9,5.9,3.4,3.5,,
2013,Female,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.3,0.1,0.1,3.0,7.7,9.8,12.2,7.9,2.6,0.8,0.8,,
2013,Female,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,0.6,2.4,3.2,4.4,2.9,1.0,0.3,0.2,,
2013,Female,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,NR,0.1,0.1,0.1,NR,NR,NR,NR,,
2013,Female,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,0.4,1.3,1.5,2.2,1.0,0.1,NR,NR,,
2013,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,1.5,2.6,1.9,1.6,0.7,0.1,NR,NR,,
2013,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,NR,NR,0.3,1.3,1.9,1.8,1.3,0.4,NR,NR,,
2013,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.3,1.0,1.4,2.2,1.5,0.5,0.2,0.1,,
2013,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.2,0.1,NR,0.9,3.3,5.2,7.3,5.0,1.8,0.6,0.7,,
2013,Female,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.5,1.1,1.3,1.5,0.8,0.1,NR,NR,,
2013,Female,Preventable/accidental,,All drugs,,,0.1,0.1,NR,3.8,10.6,14.2,18.2,11.2,3.5,2.0,2.3,,
2013,Female,Preventable/accidental,,Any Opioid,,,0.1,NR,NR,2.6,6.7,8.3,1NR,6.3,1.6,0.4,0.4,,
2013,Female,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,0.5,2.0,2.6,3.4,2.1,0.5,0.1,NR,,
2013,Female,Preventable/accidental,,Cannabis,,,NR,NR,NR,NR,0.1,0.1,0.1,NR,NR,NR,NR,,
2013,Female,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.4,1.2,1.5,2.1,0.9,0.1,NR,NR,,
2013,Female,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,1.4,2.4,1.8,1.5,0.6,NR,NR,NR,,
2013,Female,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.3,1.1,1.7,1.6,1.1,0.3,NR,NR,,
2013,Female,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.2,0.8,1.2,1.7,1.1,0.3,0.1,0.1,,
2013,Female,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,NR,NR,0.6,2.8,4.2,5.7,3.8,1.0,0.2,0.3,,
2013,Female,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.4,1.0,1.1,1.4,0.7,0.1,NR,NR,,
2013,Male,"All (preventable, intentional, undetermined)",,All drugs,,,0.6,0.3,0.1,11.7,28.6,28.1,31.5,22.7,6.9,3.7,5.9,,
2013,Male,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.2,0.2,NR,8.2,19.7,16.9,17.4,11.9,2.8,1.0,1.5,,
2013,Male,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.7,4.5,4.3,4.8,3.0,0.7,0.5,0.4,,
2013,Male,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.2,0.3,0.2,0.2,0.1,0.1,NR,NR,,
2013,Male,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,0.9,3.2,3.8,5.2,3.5,1.0,0.2,NR,,
2013,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,4.2,9.9,6.9,6.0,3.6,0.5,NR,0.1,,
2013,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,NR,NR,NR,0.9,2.6,2.3,2.3,1.8,0.4,0.1,0.1,,
2013,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.8,2.0,1.7,1.9,1.4,0.3,0.1,0.1,,
2013,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.1,NR,2.6,6.4,6.6,8.2,5.7,1.6,0.7,1.1,,
